city_x,city_y
Biarritz,Girona
Biarritz,Gran Canaria
Biarritz,Granada-Jaén
Biarritz,Ibiza
Biarritz,Jerez
Biarritz,La Palma
Biarritz,Lanzarote
Biarritz,Madrid Barajas
Biarritz,Malaga
Biarritz,Menorca
Biarritz,Palma de Mallorca
Biarritz,Región de Murcia
Biarritz,Reus
Biarritz,Santander
Biarritz,Santiago de Compostela
Biarritz,Seville
Biarritz,Tenerife North
Biarritz,Tenerife South
Biarritz,Valencia
Biarritz,Zaragoza
Biarritz,Aberdeen
Biarritz,Belfast City
Biarritz,Belfast International
Biarritz,Birmingham
Biarritz,Bristol
Biarritz,Cardiff
Biarritz,Doncaster Sheffield
Biarritz,East Midlands
Biarritz,Edinburgh
Biarritz,Exeter
Biarritz,Glasgow
Biarritz,Glasgow Prestwick
Biarritz,Humberside
Biarritz,Jersey
Biarritz,Leeds Bradford
Biarritz,Liverpool
Biarritz,London City
Biarritz,London Gatwick
Biarritz,London Heathrow
Biarritz,London Luton
Biarritz,London Southend
Biarritz,London Stansted
Biarritz,Manchester
Biarritz,Newcastle
Biarritz,Southampton
Bordeaux,Ajaccio
Bordeaux,Bastia
Bordeaux,Bergerac
Bordeaux,Biarritz
Bordeaux,Brest Bretagne
Bordeaux,Figari South Corsica
Bordeaux,Lille
Bordeaux,Lyon-Saint Exupéry
Bordeaux,Marseille
Bordeaux,Montpellier
Bordeaux,Nantes
Bordeaux,Nice
Bordeaux,Paris Beauvais
Bordeaux,Paris Charles de Gaulle
Bordeaux,Paris Orly
Bordeaux,Strasbourg
Bordeaux,Rennes Bretagne
Bordeaux,Réunion Roland Garros
Bordeaux,Toulon-Hyères
Bordeaux,Toulouse Blagnac
Bordeaux,Allgäu Memmingen
Bordeaux,Berlin Brandenburg
Bordeaux,Berlin Schönefeld
Bordeaux,Berlin Tegel
Bordeaux,Bremen
Bordeaux,Cologne Bonn
Bordeaux,Dortmund
Bordeaux,Dresden
Bordeaux,Düsseldorf
Bordeaux,Frankfurt
Bordeaux,Frankfurt-Hahn
Bordeaux,Friedrichshafen
Bordeaux,Hamburg
Bordeaux,Hanover
Bordeaux,Karlsruhe Baden-Baden
Bordeaux,Leipzig Halle
Bordeaux,Munich
Bordeaux,Münster Osnabrück
Bordeaux,Nuremberg
Bordeaux,Paderborn Lippstadt
Bordeaux,Stuttgart
Bordeaux,Weeze
Bordeaux,Alghero
Bordeaux,Ancona
Bordeaux,Bari
Bordeaux,Bergamo
Bordeaux,Bologna
Bordeaux,Brindisi
Bordeaux,Cagliari
Bordeaux,Catania Fontanarossa
Bordeaux,Comiso
Bordeaux,Florence
Bordeaux,Genoa
Bordeaux,Lamezia Terme
Bordeaux,Milan Linate
Bordeaux,Milan Malpensa
Bordeaux,Naples
Bordeaux,Olbia Costa Smeralda
Bordeaux,Palermo
Bordeaux,Perugia
Bordeaux,Pescara
Bordeaux,Pisa
Bordeaux,Rome Ciampino
Bordeaux,Rome Fiumicino
Bordeaux,Trapani
Bordeaux,Treviso
Bordeaux,Turin
Bordeaux,Venice
Bordeaux,Verona
Bordeaux,Amsterdam Schiphol
Bordeaux,Eindhoven
Bordeaux,Groningen Eelde
Bordeaux,Maastricht Aachen
Bordeaux,Rotterdam The Hague
Bordeaux,Alicante
Bordeaux,Almeria
Bordeaux,Asturias
Bordeaux,Barcelona
Bordeaux,Bilbao
Bordeaux,Fuerteventura
Bordeaux,Girona
Bordeaux,Gran Canaria
Bordeaux,Granada-Jaén
Bordeaux,Ibiza
Bordeaux,Jerez
Bordeaux,La Palma
Bordeaux,Lanzarote
Bordeaux,Madrid Barajas
Bordeaux,Malaga
Bordeaux,Menorca
Bordeaux,Palma de Mallorca
Bordeaux,Región de Murcia
Bordeaux,Reus
Bordeaux,Santander
Bordeaux,Santiago de Compostela
Bordeaux,Seville
Bordeaux,Tenerife North
Bordeaux,Tenerife South
Bordeaux,Valencia
Bordeaux,Zaragoza
Bordeaux,Aberdeen
Bordeaux,Belfast City
Bordeaux,Belfast International
Bordeaux,Birmingham
Bordeaux,Bristol
Bordeaux,Cardiff
Bordeaux,Doncaster Sheffield
Bordeaux,East Midlands
Bordeaux,Edinburgh
Bordeaux,Exeter
Bordeaux,Glasgow
Bordeaux,Glasgow Prestwick
Bordeaux,Humberside
Bordeaux,Jersey
Bordeaux,Leeds Bradford
Bordeaux,Liverpool
Bordeaux,London City
Bordeaux,London Gatwick
Bordeaux,London Heathrow
Bordeaux,London Luton
Bordeaux,London Southend
Bordeaux,London Stansted
Bordeaux,Manchester
Bordeaux,Newcastle
Bordeaux,Southampton
Brest Bretagne,Ajaccio
Brest Bretagne,Bastia
Brest Bretagne,Bergerac
Brest Bretagne,Biarritz
Brest Bretagne,Bordeaux
