,city,country,airport,lon,lat
243,Birmingham,United Kingdom,BHX,-1.74802994728, 52.453899383499994
244,Bristol,United Kingdom,BRS,-2.71909, 51.382702
245,Cardiff,United Kingdom,CWL,-3.343329906463623, 51.39670181274414
246,Doncaster Sheffield,United Kingdom,DSA,-1.01065635681, 53.4805378105
247,East Midlands,United Kingdom,EMA,-1.32806003094, 52.8311004639
248,Edinburgh,United Kingdom,EDI,-3.372499942779541, 55.95000076293945
249,Exeter,United Kingdom,EXT,-3.4138898849487305, 50.73440170288086
250,Glasgow,United Kingdom,GLA,-4.43306, 55.871899
251,Glasgow Prestwick,United Kingdom,PIK,-4.586669921875, 55.5093994140625
252,Humberside,United Kingdom,HUY,-0.350832998752594, 53.57440185546875
253,Jersey,United Kingdom,JER,-2.195509910583496, 49.20790100097656
254,Leeds Bradford,United Kingdom,LBA,-1.6605700254440308, 53.86589813232422
255,Liverpool,United Kingdom,LPL,-2.849720001220703, 53.33359909057617
256,London City,United Kingdom,LCY,0.055278, 51.505299
257,London Gatwick,United Kingdom,LGW,-0.190278, 51.148102
258,London Heathrow,United Kingdom,LHR,-0.461941, 51.4706
259,London Luton,United Kingdom,LTN,-0.36833301186561584, 51.874698638916016
260,London Southend,United Kingdom,SEN,0.6955559849739075, 51.5713996887207
261,London Stansted,United Kingdom,STN,0.234999999404, 51.8849983215
262,Manchester,United Kingdom,MAN,-2.2749500274658203, 53.35369873046875
263,Newcastle,United Kingdom,NCL,-1.6916699409484863, 55.037498474121094
264,Southampton,United Kingdom,SOU,-1.3567999601364136, 50.95029830932617
